pp_0000	6.55E+04	1.26E+05	1	0.02
pp_0001	5.55E+04	1.16E+05	1	0.03
pp_0002	6.55E+04	1.16E+05	1	0.04
pp_0003	3.55E+04	1.06E+05	1	0.05
pp_0004	4.55E+04	1.06E+05	1	0.05
pp_0005	5.55E+04	1.06E+05	1	0.05
pp_0006	6.55E+04	1.06E+05	1	0.05
pp_0007	3.55E+04	9.55E+04	1	0.05
pp_0008	4.55E+04	9.55E+04	1	0.05
pp_0009	5.55E+04	9.55E+04	1	0.05
pp_0010	6.55E+04	9.55E+04	1	0.05
pp_0011	3.55E+04	8.55E+04	1	0.05
pp_0012	4.55E+04	8.55E+04	1	0.05
pp_0013	5.55E+04	8.55E+04	1	0.05
pp_0014	6.55E+04	8.55E+04	1	0.05
pp_0015	3.55E+04	7.55E+04	1	0.05
pp_0016	4.55E+04	7.55E+04	1	0.05
pp_0017	5.55E+04	7.55E+04	1	0.05
pp_0018	2.55E+04	6.55E+04	1	0.05
pp_0019	3.55E+04	6.55E+04	1	0.05
pp_0020	4.55E+04	6.55E+04	1	0.05
pp_0021	5.55E+04	6.55E+04	1	0.05
pp_0022	2.55E+04	5.55E+04	1	0.05
pp_0023	3.55E+04	5.55E+04	1	0.05
pp_0024	4.55E+04	5.55E+04	1	0.08
pp_0025	2.55E+04	4.55E+04	1	0.05
pp_0026	3.55E+04	4.55E+04	1	0.08
pp_0027	4.55E+04	4.55E+04	1	0.08
pp_0028	3.55E+04	3.55E+04	1	0.08
pp_0029	4.55E+04	3.55E+04	1	0.05
pp_0030	2.55E+04	2.55E+04	1	0.05
pp_0031	3.55E+04	2.55E+04	1	0.05
pp_0032	1.55E+04	1.55E+04	1	0.02
pp_0033	2.55E+04	1.55E+04	1	0.02
pp_0034	3.55E+04	1.55E+04	1	0.02
pp_0035	5.50E+03	5.50E+03	1	0.02
pp_0036	1.55E+04	5.50E+03	1	0.02
