 pp_0000               6.5500000000E+04      1.2550000000E+05      1                    1.843725E+01
 pp_0001               5.5500000000E+04      1.1550000000E+05      1                    6.942394E+00
 pp_0002               6.5500000000E+04      1.1550000000E+05      1                    5.317021E+00
 pp_0003               3.5500000000E+04      1.0550000000E+05      1                    2.348244E+01
 pp_0004               4.5500000000E+04      1.0550000000E+05      1                    3.700536E+01
 pp_0005               5.5500000000E+04      1.0550000000E+05      1                    5.039027E+01
 pp_0006               6.5500000000E+04      1.0550000000E+05      1                    3.970362E+01
 pp_0007               3.5500000000E+04      9.5500000000E+04      1                    1.089375E+01
 pp_0008               4.5500000000E+04      9.5500000000E+04      1                    7.532484E+00
 pp_0009               5.5500000000E+04      9.5500000000E+04      1                    5.275167E+01
 pp_0010               6.5500000000E+04      9.5500000000E+04      1                    2.466197E+00
 pp_0011               3.5500000000E+04      8.5500000000E+04      1                    2.656489E+01
 pp_0012               4.5500000000E+04      8.5500000000E+04      1                    1.426873E+01
 pp_0013               5.5500000000E+04      8.5500000000E+04      1                    5.927765E+00
 pp_0014               6.5500000000E+04      8.5500000000E+04      1                    3.209094E+00
 pp_0015               3.5500000000E+04      7.5500000000E+04      1                    5.596817E+01
 pp_0016               4.5500000000E+04      7.5500000000E+04      1                    2.008648E+01
 pp_0017               5.5500000000E+04      7.5500000000E+04      1                    6.043067E+01
 pp_0018               2.5500000000E+04      6.5500000000E+04      1                    6.788450E+01
 pp_0019               3.5500000000E+04      6.5500000000E+04      1                    6.009442E+00
 pp_0020               4.5500000000E+04      6.5500000000E+04      1                    6.762412E+00
 pp_0021               5.5500000000E+04      6.5500000000E+04      1                    1.580578E+01
 pp_0022               2.5500000000E+04      5.5500000000E+04      1                    7.402863E+00
 pp_0023               3.5500000000E+04      5.5500000000E+04      1                    1.835363E+01
 pp_0024               4.5500000000E+04      5.5500000000E+04      1                    1.473137E+01
 pp_0025               2.5500000000E+04      4.5500000000E+04      1                    4.651493E+01
 pp_0026               3.5500000000E+04      4.5500000000E+04      1                    9.287637E+01
 pp_0027               4.5500000000E+04      4.5500000000E+04      1                    7.638136E+00
 pp_0028               3.5500000000E+04      3.5500000000E+04      1                    3.692916E+02
 pp_0029               4.5500000000E+04      3.5500000000E+04      1                    4.099712E+00
 pp_0030               2.5500000000E+04      2.5500000000E+04      1                    4.379909E+01
 pp_0031               3.5500000000E+04      2.5500000000E+04      1                    5.645116E+00
 pp_0032               1.5500000000E+04      1.5500000000E+04      1                    3.698704E+00
 pp_0033               2.5500000000E+04      1.5500000000E+04      1                    9.671309E+01
 pp_0034               3.5500000000E+04      1.5500000000E+04      1                    1.406054E+01
 pp_0035               5.5000000000E+03      5.5000000000E+03      1                    1.425991E+01
 pp_0036               1.5500000000E+04      5.5000000000E+03      1                    3.240743E+01
