Start_date	Discharge	SO4_Conc	CO3_Conc	HCO3_Conc	Ca_Conc	Mg_Conc	Na_Conc	K_Conc	Cl_Conc	SO4_Load	CO3_Load	HCO3_Load	Ca_Load	Mg_Load	Na_Load	K_Load	Cl_Load
3/19/2002	176	196	-999	176	94.6	15.5	38.4	3.37	26.2	84396.93115	-999	75784.9994	40734.43718	6674.247107	16534.90896	1451.1105	11281.63059
5/14/2002	242	177	1	179	90.5	12.9	34.7	2.96	23	104796.4445	592.0703078	105980.5851	53582.36286	7637.706971	20544.83968	1752.528111	13617.61708
7/18/2002	8	390	-999	145	131	24.9	78.6	4.54	42.6	7633.303142	-999	2838.022963	2564.006953	487.3570468	1538.404172	88.85947761	833.791574
1/29/2003	211	196	-999	158	94.6	14.5	35.7	2.89	24.7	101180.4118	-999	81563.80133	48835.03548	7485.285565	18429.28929	1491.894847	12750.79679
3/19/2003	356	173	-999	171	85.7	13.7	38.7	3.14	18.7	150679.4468	-999	148937.4879	74642.93982	11932.41862	33706.90515	2734.875508	16287.31592
5/21/2003	1130	53.7	-999	80	38.4	5	7.39	1.18	5.41	148460.4064	-999	221170.0654	106161.6314	13823.12909	20430.58479	3262.258465	14956.62567
7/9/2003	116	184	-999	157	87.8	12.6	38.6	2.77	24.6	52219.62252	-999	44556.96052	24917.84162	3575.908934	10954.76864	786.1323608	6981.536489
12/11/2003	233	192	1	182	104	15.6	37.5	3.23	25.8	109449.8235	570.0511642	103749.3119	59285.32107	8892.798161	21376.91866	1841.26526	14707.32004
3/12/2004	586	115	1	145	70.1	10.7	22	2.81	13.3	164874.4547	1433.690911	207885.1821	100501.7328	15340.49274	31541.20004	4028.671459	19068.08911
7/1/2004	879	85.2	-999	104	52.4	6.84	15	1.74	10.4	183225.6984	-999	223655.7821	112688.1056	14709.66874	32258.04549	3741.933277	22365.57821
8/11/2004	102	189	-999	159	85.6	14.7	38.6	2.97	25.7	47165.00576	-999	39678.49691	21361.50526	3668.389337	9632.641389	741.1643763	6413.442583
1/19/2005	416	-999	-999	186	-999	-999	-999	-999	-999	-999	-999	189305.9179	-999	-999	-999	-999	-999
3/24/2005	737	116	2	148	76.1	13.7	19.9	1.93	13.1	209162.2924	3606.24642	266862.2351	137217.6763	24702.78798	35882.15188	3480.027796	23620.91405
8/4/2005	385	125	-999	154	73.5	11	24.5	2.36	16.9	117741.2544	-999	145057.2254	69231.85759	10361.23039	23077.28586	2222.954883	15918.61759
8/30/2005	285	-999	2	169	-999	-999	-999	-999	-999	-999	1394.545766	117839.1173	-999	-999	-999	-999	-999
3/29/2006	238	166	2	164	87.8	13.5	27	2.53	17.2	96659.14761	1164.568044	95494.57957	51124.53711	7860.834294	15721.66859	1473.178575	10015.28517
7/27/2006	311	134	2	172	77.2	11.3	26.3	2.74	17.9	101958.4215	1521.767485	130872.0037	58740.22494	8597.986293	20011.24243	2084.821455	13619.81899
9/26/2006	548	114	1	146	48.2	7.02	14.5	1.51	12.3	152842.216	1340.721193	195745.2942	64622.7615	9411.862775	19440.4573	2024.489001	16490.87067
11/21/2006	476	131	2	172	65.3	10.1	19	1.87	14.7	152558.4137	2329.136087	200305.7035	76046.29324	11762.13724	22126.79283	2177.742241	17119.15024
4/11/2007	1000	69.8	1	131	50.9	7.31	9.77	1.3	6.63	170770.6921	2446.57152	320500.8691	124530.4904	17884.43781	23903.00375	3180.542976	16220.76918
7/18/2007	404	119	2	163	49.7	6.73	23.3	1.85	15.4	117621.3724	1976.829788	161111.6277	49124.22024	6652.032237	23030.06703	1828.567554	15221.58937
12/9/2008	320	183	2	194	96	15.2	35.6	2.87	20.6	143271.2282	1565.805773	151883.16	75158.67709	11900.12387	27871.34276	2246.931284	16127.79946
2/24/2009	336	171	1	174	81	13.2	30.5	2.69	18.2	140570.2133	822.0480307	143036.3573	66585.89049	10851.03401	25072.46494	2211.309203	14961.27416
4/29/2009	1370	56.7	0	102	44.5	5.89	7.36	1.2	4.79	190047.2291	0	341883.9042	149155.2327	19742.11957	24669.26995	4022.163579	16055.13629
12/8/2009	267	194	3	214	104	16.6	36.1	3.45	24.6	126727.5116	1959.703788	139792.2035	67936.39797	10843.69429	23581.76891	2253.659356	16069.57106
5/18/2010	1560	60.5	1	104	43.5	5.87	8.9	1.18	6.11	230907.4201	3816.651571	396931.7634	166024.3433	22403.74472	33968.19898	4503.648854	23319.7411
7/28/2010	389	151	1	179	87.3	11.4	28.5	3.46	19.4	143709.1645	951.7163213	170357.2215	83084.83485	10849.56606	27123.91516	3292.938472	18463.29663
																	
																	
