group,mean_change,std_change,num_at_near_bounds,percent_at_near_bounds,initial_cv,current_cv,num_cv_dec
soil,672.579,45.8028,4,0,21.6716,1.7055,5
aquf,50.8236,55.3414,1,0,0.476287,0.434677,0
apex,0,0,0,0,0,0,0
rivbot,0,0,0,0,0,0,0
rivcd,32.1034,58.7987,0,0,0.347265,0.233247,2
salt_ca0,154.766,42.4094,0,0,2.59454,3.3875,16
salt_cl0,188.046,45.2295,0,0,2.51655,1.74926,20
salt_co30,786.651,42.7367,0,0,8.83512,12.2417,14
salt_hco30,117.725,50.8007,0,0,1.60015,0.786865,17
salt_k0,176.937,46.3934,0,0,2.46606,1.66192,14
salt_mg0,1634.57,43.912,0,0,36.5869,13.3444,28
salt_na0,241.999,41.7019,0,0,4.52974,2.78653,13
salt_so40,130.763,46.843,6,0,1.65233,1.36477,16
