iteration,total_runs,mean,standard_deviation,min,max,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,base
0,150,2.05725e+06,335386,1.45369e+06,2.93895e+06,2.20779e+06,1.96661e+06,2.05735e+06,2.05653e+06,1.96945e+06,2.37715e+06,2.06571e+06,2.40133e+06,2.00147e+06,1.8761e+06,2.18433e+06,2.50747e+06,1.62833e+06,1.9525e+06,2.51519e+06,1.82665e+06,,1.88101e+06,2.81235e+06,1.47329e+06,2.9046e+06,2.66847e+06,2.16622e+06,2.35372e+06,2.03992e+06,1.70737e+06,2.16212e+06,1.87041e+06,2.67564e+06,2.03952e+06,1.45369e+06,2.10459e+06,2.28625e+06,1.75017e+06,1.77099e+06,2.41668e+06,2.04706e+06,1.87502e+06,2.43794e+06,1.74712e+06,2.14785e+06,1.96512e+06,1.76591e+06,2.05831e+06,1.92883e+06,1.61804e+06,2.04702e+06,2.48119e+06,1.83727e+06,1.8248e+06,1.82199e+06,2.2912e+06,1.64206e+06,2.06906e+06,,1.98097e+06,1.95448e+06,1.73356e+06,1.60339e+06,1.8082e+06,1.98093e+06,2.75701e+06,1.89773e+06,2.55432e+06,2.71913e+06,1.83082e+06,1.5437e+06,1.80251e+06,2.68588e+06,1.74982e+06,1.95564e+06,2.01063e+06,1.72994e+06,,1.74395e+06,2.82926e+06,2.1289e+06,2.03636e+06,1.88831e+06,,1.91916e+06,1.75114e+06,1.6824e+06,1.51094e+06,2.00062e+06,1.67621e+06,2.34208e+06,2.07001e+06,2.16589e+06,2.50166e+06,2.76632e+06,1.60293e+06,1.64029e+06,1.6719e+06,2.49873e+06,1.95767e+06,2.39089e+06,2.03118e+06,2.12322e+06,2.03047e+06,1.90227e+06,2.043e+06,1.74252e+06,1.79666e+06,1.98649e+06,2.40617e+06,2.67908e+06,2.02686e+06,2.58016e+06,1.89056e+06,1.84108e+06,1.85924e+06,2.1557e+06,1.85503e+06,1.99597e+06,1.91814e+06,2.14106e+06,2.2093e+06,2.93895e+06,2.09995e+06,2.28118e+06,1.97976e+06,1.92074e+06,2.16384e+06,1.79048e+06,1.53775e+06,2.28092e+06,,2.13147e+06,2.2245e+06,1.76992e+06,1.69259e+06,1.58231e+06,1.94536e+06,1.90616e+06,2.43502e+06,1.83579e+06,1.87789e+06,2.04327e+06,2.8309e+06,2.83566e+06,1.97536e+06,1.73525e+06,1.85675e+06,1.81162e+06,2.26627e+06,2.53834e+06,,1.93143e+06,2e+06
1,325,1.2696e+06,103951,1.0761e+06,1.90272e+06,1.2553e+06,1.24716e+06,1.09949e+06,1.2744e+06,,1.17226e+06,1.32545e+06,1.18015e+06,1.28896e+06,1.23176e+06,1.33139e+06,1.20821e+06,1.18918e+06,1.32658e+06,1.30166e+06,1.13521e+06,,1.33753e+06,1.37205e+06,1.20547e+06,1.20114e+06,1.21875e+06,1.24381e+06,1.30888e+06,1.34741e+06,1.25922e+06,1.47779e+06,1.27598e+06,1.20014e+06,1.21104e+06,1.24393e+06,1.47047e+06,1.31746e+06,1.26879e+06,1.21431e+06,1.21148e+06,1.24542e+06,1.19197e+06,1.25236e+06,1.19014e+06,1.10474e+06,1.20106e+06,1.26634e+06,1.28358e+06,1.20008e+06,1.30207e+06,1.1651e+06,1.25876e+06,1.26707e+06,1.55442e+06,1.16873e+06,1.18182e+06,1.19755e+06,1.40031e+06,,1.271e+06,1.1797e+06,1.18749e+06,,1.24975e+06,1.15535e+06,1.27778e+06,1.30283e+06,1.22363e+06,,1.31613e+06,1.20417e+06,1.13636e+06,1.22411e+06,1.32139e+06,1.22017e+06,1.24293e+06,1.19367e+06,,1.19274e+06,1.36893e+06,1.37025e+06,1.90272e+06,,,1.33551e+06,1.38736e+06,1.28662e+06,1.32147e+06,1.26968e+06,1.2675e+06,1.35371e+06,1.38619e+06,1.41557e+06,1.28229e+06,1.20627e+06,1.17429e+06,1.2299e+06,1.23541e+06,1.24571e+06,1.1736e+06,1.18977e+06,1.43219e+06,,1.10044e+06,1.0761e+06,1.23982e+06,1.24286e+06,,1.2214e+06,1.21636e+06,1.29952e+06,1.15908e+06,1.2331e+06,1.32872e+06,1.30745e+06,1.26497e+06,1.24412e+06,1.27697e+06,1.21614e+06,1.20484e+06,1.46605e+06,1.27999e+06,1.3189e+06,1.3286e+06,1.55929e+06,1.2298e+06,1.07636e+06,1.44082e+06,1.23768e+06,1.25517e+06,1.2573e+06,,1.42264e+06,1.23292e+06,1.25699e+06,1.22046e+06,1.43905e+06,1.44897e+06,1.20514e+06,1.19174e+06,1.34299e+06,1.31502e+06,1.28384e+06,1.27591e+06,1.32709e+06,1.18016e+06,1.35215e+06,1.33274e+06,1.21415e+06,1.18178e+06,1.30984e+06,,,1.20117e+06
2,494,1.15491e+06,87914.6,1.00773e+06,1.58079e+06,1.04124e+06,1.17817e+06,1.05958e+06,1.3071e+06,,1.08587e+06,1.14463e+06,1.1644e+06,1.14092e+06,1.20501e+06,1.23015e+06,1.07364e+06,1.04936e+06,1.14499e+06,1.23669e+06,1.14905e+06,,1.12347e+06,1.27823e+06,1.12469e+06,,1.03043e+06,1.12871e+06,1.09793e+06,1.18763e+06,1.34699e+06,1.21799e+06,1.12806e+06,1.18019e+06,1.13091e+06,1.13733e+06,1.14647e+06,1.18406e+06,1.13777e+06,1.10697e+06,1.1895e+06,1.06416e+06,1.03216e+06,1.13386e+06,1.17471e+06,1.0893e+06,1.07711e+06,1.16852e+06,1.13888e+06,1.1e+06,1.15085e+06,1.09342e+06,1.04937e+06,1.2227e+06,1.17828e+06,1.10365e+06,1.143e+06,1.05419e+06,1.17931e+06,,1.25381e+06,1.15429e+06,1.12195e+06,,1.01791e+06,1.00773e+06,1.19345e+06,1.08363e+06,,,1.12703e+06,1.10309e+06,1.53659e+06,1.12963e+06,1.07044e+06,1.22647e+06,1.35678e+06,1.06357e+06,,,1.17523e+06,1.16698e+06,1.24263e+06,,,1.17347e+06,1.16258e+06,1.22852e+06,1.09183e+06,1.17833e+06,1.27519e+06,1.10602e+06,1.19119e+06,1.04665e+06,1.30062e+06,1.2174e+06,1.1397e+06,1.07e+06,1.13337e+06,1.13315e+06,1.16042e+06,1.02632e+06,,,1.0574e+06,1.07481e+06,,1.11202e+06,,1.09588e+06,,1.10538e+06,1.22616e+06,1.15618e+06,1.19786e+06,1.21952e+06,1.2329e+06,1.17566e+06,1.07901e+06,1.08365e+06,1.13244e+06,1.27816e+06,1.0961e+06,1.19523e+06,1.2809e+06,1.31501e+06,1.12287e+06,1.58079e+06,1.13502e+06,1.14391e+06,1.17646e+06,1.19056e+06,,1.20409e+06,1.15997e+06,1.18207e+06,1.04809e+06,1.10776e+06,1.17956e+06,1.09475e+06,,1.13245e+06,1.23411e+06,1.15523e+06,1.03718e+06,1.1993e+06,1.12173e+06,1.19638e+06,1.04505e+06,1.12501e+06,1.27488e+06,1.22139e+06,,,1.0475e+06
3,656,1.1031e+06,58383.9,944696,1.21773e+06,1.06632e+06,1.14016e+06,1.04343e+06,1.06667e+06,,1.02612e+06,1.15434e+06,1.11789e+06,1.00634e+06,1.1839e+06,1.15715e+06,1.07218e+06,1.08438e+06,1.13901e+06,1.15691e+06,1.03323e+06,,1.06437e+06,1.2048e+06,1.1117e+06,,1.07593e+06,1.04698e+06,1.0304e+06,1.07162e+06,1.16535e+06,1.19731e+06,1.1521e+06,1.15323e+06,1.05893e+06,1.00412e+06,1.06731e+06,1.11467e+06,1.04275e+06,1.06032e+06,1.14016e+06,1.06878e+06,1.01999e+06,1.06134e+06,1.1002e+06,1.0457e+06,1.01103e+06,1.12859e+06,1.13043e+06,1.06832e+06,1.20668e+06,1.02481e+06,1.05741e+06,1.16027e+06,1.17772e+06,1.06983e+06,1.09378e+06,1.1573e+06,1.08264e+06,,1.1363e+06,1.12636e+06,1.08359e+06,,1.04312e+06,1.08991e+06,1.13992e+06,1.18106e+06,,,1.0531e+06,1.15689e+06,1.18257e+06,1.07804e+06,1.07688e+06,1.15309e+06,1.18588e+06,1.01931e+06,,,1.13685e+06,1.19113e+06,1.18952e+06,,,1.01005e+06,1.06727e+06,1.21752e+06,1.00353e+06,1.11826e+06,1.16592e+06,1.09214e+06,1.10038e+06,1.01189e+06,1.19804e+06,1.16299e+06,1.07299e+06,1.01337e+06,1.0629e+06,1.08765e+06,1.14828e+06,1.03542e+06,,,1.05468e+06,1.07918e+06,,1.02874e+06,,1.09926e+06,,1.12316e+06,1.16907e+06,1.09671e+06,1.13574e+06,,1.18958e+06,1.02644e+06,1.11132e+06,1.03863e+06,1.13337e+06,1.17196e+06,1.06665e+06,1.15329e+06,1.09848e+06,1.21773e+06,1.16622e+06,1.15019e+06,1.08817e+06,1.07594e+06,1.14774e+06,1.15423e+06,,1.17481e+06,1.11711e+06,1.19723e+06,1.09591e+06,1.16277e+06,1.13334e+06,1.05424e+06,,1.02103e+06,1.0626e+06,1.0971e+06,1.08381e+06,1.11351e+06,1.08637e+06,1.13634e+06,1.01328e+06,1.19362e+06,1.08841e+06,1.07955e+06,,,944696
4,817,1.05218e+06,44373.9,955826,1.14971e+06,1.12203e+06,1.03862e+06,993995,1.01699e+06,,998132,1.05672e+06,977896,992050,1.0631e+06,1.12841e+06,1.10541e+06,1.02824e+06,1.10936e+06,1.13012e+06,1.01064e+06,,1.03087e+06,1.12239e+06,1.10933e+06,,1.01882e+06,1.01734e+06,1.04208e+06,997608,1.04811e+06,1.13535e+06,1.00155e+06,1.06905e+06,1.03895e+06,1.00658e+06,1.11136e+06,1.06126e+06,1.05654e+06,1.07111e+06,1.04873e+06,1.03823e+06,980589,1.03463e+06,1.08328e+06,1.05093e+06,1.00418e+06,1.03225e+06,1.03036e+06,1.04761e+06,1.05562e+06,977535,1.12718e+06,1.01434e+06,1.08767e+06,1.04708e+06,1.08603e+06,1.11411e+06,1.07435e+06,,1.03167e+06,1.09162e+06,1.06623e+06,,992456,1.0371e+06,1.13843e+06,1.13162e+06,,,1.06478e+06,1.05242e+06,1.07306e+06,1.02887e+06,1.03438e+06,1.05187e+06,1.05571e+06,1.02686e+06,,,1.14611e+06,1.11719e+06,1.08085e+06,,,990133,1.01861e+06,1.03922e+06,1.05625e+06,1.01606e+06,1.11692e+06,1.08133e+06,1.14971e+06,1.03866e+06,1.05243e+06,1.06737e+06,,1.00859e+06,1.1317e+06,973947,1.09836e+06,1.01841e+06,,,985575,1.0118e+06,,1.1461e+06,,1.08043e+06,,1.01508e+06,1.0337e+06,1.00195e+06,1.07312e+06,,1.05391e+06,1.04698e+06,1.02426e+06,1.00448e+06,1.04109e+06,1.04395e+06,1.0521e+06,1.0311e+06,,1.13013e+06,,1.02971e+06,1.08755e+06,1.05961e+06,1.08456e+06,1.02635e+06,,1.04541e+06,993591,,988754,1.11255e+06,1.04288e+06,1.03104e+06,,1.04747e+06,1.03576e+06,1.03614e+06,1.09433e+06,1.03732e+06,1.00688e+06,1.09598e+06,1.01267e+06,1.12122e+06,1.04737e+06,1.03061e+06,,,955826
5,974,1.03938e+06,36232.5,944143,1.12272e+06,1.04079e+06,1.00279e+06,1.00611e+06,1.0152e+06,,1.02448e+06,1.03255e+06,1.06055e+06,998646,1.09666e+06,1.09433e+06,1.02109e+06,1.03585e+06,1.10513e+06,,1.0327e+06,,1.00939e+06,1.05202e+06,995350,,1.01504e+06,984689,991677,1.05111e+06,1.04708e+06,,1.04239e+06,1.03171e+06,1.03167e+06,1.01009e+06,1.05998e+06,1.00394e+06,1.00681e+06,1.11112e+06,1.01043e+06,984778,1.02433e+06,1.06726e+06,1.06793e+06,1.03901e+06,972496,1.02923e+06,1.03374e+06,1.03059e+06,1.04669e+06,1.08831e+06,1.02892e+06,995176,,1.04986e+06,1.05279e+06,1.08026e+06,1.05719e+06,,1.06178e+06,1.03287e+06,1.02462e+06,,987474,972206,1.12272e+06,1.11541e+06,,,1.01354e+06,1.11402e+06,1.03102e+06,1.04888e+06,1.08718e+06,1.06513e+06,1.02559e+06,1.06083e+06,,,1.09423e+06,1.09765e+06,1.03194e+06,,,1.00514e+06,1.01081e+06,1.0786e+06,1.03834e+06,1.04395e+06,1.06929e+06,1.03157e+06,1.08274e+06,995129,1.09059e+06,1.05021e+06,,1.05269e+06,1.08234e+06,1.03052e+06,1.07667e+06,1.01467e+06,,,1.01142e+06,1.03453e+06,,1.02914e+06,,993915,,1.04018e+06,1.1211e+06,999693,,,1.1085e+06,1.03594e+06,1.0248e+06,944143,1.08609e+06,986551,1.03441e+06,1.05745e+06,,1.08806e+06,,1.06222e+06,1.02085e+06,1.02854e+06,1.07612e+06,989482,,1.01157e+06,1.01406e+06,,996749,1.08387e+06,1.02738e+06,1.03108e+06,,1.03913e+06,984394,1.02353e+06,1.03804e+06,1.05582e+06,1.00835e+06,1.06496e+06,1.02708e+06,1.09103e+06,1.0634e+06,1.02259e+06,,,998789
6,1127,1.01628e+06,38401.7,947485,1.11137e+06,1.0025e+06,979334,974403,986120,,984044,998078,1.0543e+06,996764,999705,1.05098e+06,1.00729e+06,1.00253e+06,1.02204e+06,,1.00374e+06,,1.02653e+06,1.04836e+06,1.01418e+06,,1.03218e+06,1.05985e+06,1.05498e+06,1.02576e+06,1.01944e+06,,995622,974829,1.00358e+06,988225,971330,1.07332e+06,970367,1.02109e+06,1.01579e+06,966060,1.05097e+06,1.02943e+06,1.02367e+06,968174,1.04967e+06,1.07434e+06,998504,1.04652e+06,1.00704e+06,1.01403e+06,,983434,,1.06952e+06,1.06745e+06,991856,1.11137e+06,,1.08801e+06,1.05014e+06,980609,,961998,976630,986837,1.10737e+06,,,953969,1.05687e+06,990571,993115,1.02845e+06,1.03202e+06,1.04684e+06,978042,,,991037,1.09077e+06,976954,,,1.02264e+06,985881,1.02643e+06,981428,966939,,,1.04418e+06,978071,1.101e+06,1.04119e+06,,1.00657e+06,1.06119e+06,996610,1.10016e+06,997343,,,960625,1.0279e+06,,1.00613e+06,,1.02007e+06,,1.00502e+06,1.09032e+06,997285,,,1.00543e+06,1.01302e+06,966483,986536,1.09983e+06,981794,1.08093e+06,987333,,975900,,967886,1.04122e+06,1.00167e+06,1.05316e+06,951425,,1.0301e+06,990760,,1.03814e+06,,1.00066e+06,999148,,1.00115e+06,1.01984e+06,1.02477e+06,947485,1.0195e+06,1.06373e+06,1.01503e+06,1.0263e+06,1.03138e+06,1.09843e+06,997085,,,972144
7,1276,1.00187e+06,36361.9,941949,1.09791e+06,1.08119e+06,973366,979204,1.00749e+06,,961525,953366,985292,992471,1.07624e+06,,955161,1.01712e+06,1.03167e+06,,979228,,1.02836e+06,970712,991041,,999330,1.03385e+06,1.04337e+06,1.03813e+06,1.00762e+06,,1.06373e+06,976253,975335,1.00339e+06,974055,1.00184e+06,977751,1.01714e+06,980343,974804,994771,993059,980358,948462,1.03964e+06,1.00167e+06,990824,994834,998600,1.00655e+06,,963583,,1.04026e+06,1.02452e+06,,1.00282e+06,,,969251,997664,,975137,959562,985490,1.03067e+06,,,992421,1.05697e+06,979380,964216,960242,999013,977830,1.00936e+06,,,1.05824e+06,1.02194e+06,963945,,,1.01904e+06,968570,1.02184e+06,1.00648e+06,956432,,,955890,965809,1.05892e+06,955520,,,1.04661e+06,967892,997893,999701,,,955421,1.03697e+06,,992467,,973316,,999662,1.00813e+06,1.03179e+06,,,986070,,968707,1.03085e+06,1.08899e+06,1.00087e+06,1.05288e+06,1.04315e+06,,972877,,986876,1.09078e+06,945284,1.03289e+06,1.07546e+06,,983335,1.09791e+06,,974513,,1.06894e+06,982130,,972424,1.0293e+06,963286,1.01316e+06,,1.00691e+06,991517,1.00698e+06,1.08919e+06,985299,974591,,,941949
8,1419,990228,30832.2,922013,1.06605e+06,1.0372e+06,1.02793e+06,984401,1.00711e+06,,944828,964520,975231,973583,1.06308e+06,,961541,1.06328e+06,1.00599e+06,,973390,,,1.06517e+06,1.02054e+06,,960083,1.02819e+06,984891,1.02335e+06,972388,,991076,999839,975403,969560,962288,1.00666e+06,969685,1.01675e+06,1.00786e+06,991787,985728,988991,968798,951921,981116,957414,986864,959681,979763,985342,,1.00112e+06,,1.0461e+06,1.01977e+06,,1.0294e+06,,,965510,983864,,979928,964395,922013,1.06605e+06,,,,1.01524e+06,949720,981935,991094,,980379,1.00238e+06,,,954416,991810,954765,,,983847,,1.04602e+06,964300,988013,,,993556,954470,987981,967418,,,959156,963258,977012,1.01222e+06,,,956794,962313,,952590,,984170,,959762,1.06019e+06,981513,,,985309,,969147,971126,1.03702e+06,975526,991206,1.0059e+06,,957974,,1.03958e+06,955661,964781,1.00365e+06,1.0048e+06,,975156,1.00046e+06,,987301,,986407,967783,,986638,1.01857e+06,1.00418e+06,997352,,962752,1.04934e+06,978500,1.01298e+06,1.06163e+06,1.02591e+06,,,950043
9,1558,987373,27205.1,949601,1.06138e+06,978388,957108,952708,960232,,964336,998344,1.01503e+06,955772,961985,,952378,1.06138e+06,993170,,974051,,,1.04871e+06,979240,,956564,1.02692e+06,951173,1.0206e+06,956121,,999085,961170,,996896,975583,1.01312e+06,968116,981977,982739,969325,991484,984727,998216,950718,999757,1.03429e+06,,978991,984015,970903,,991554,,1.02089e+06,987287,,988011,,,998302,972737,,960238,992512,990719,999646,,,,989876,,971450,974844,,949601,1.01442e+06,,,1.035e+06,995569,959868,,,967216,,1.0508e+06,961308,,,,974795,991611,1.02887e+06,984421,,,982818,967747,997124,1.00168e+06,,,954100,1.02344e+06,,991818,,1.00839e+06,,967223,969154,958364,,,971450,,959013,999385,1.03193e+06,971103,985170,1.05336e+06,,962948,,965743,,956562,1.03246e+06,956275,,1.05131e+06,975221,,999525,,985397,952339,,987569,975993,967556,984237,,1.02696e+06,1.00938e+06,982854,,1.03797e+06,1.00234e+06,,,961882
