group,mean_change,std_change,num_at_near_bounds,percent_at_near_bounds,initial_cv,current_cv,num_cv_dec
soil,541.463,48.3738,0,0,21.6716,6.65539,5
aquf,52.349,62.1784,0,0,0.476287,0.362842,0
apex,0,0,0,0,0,0,0
rivbot,0,0,0,0,0,0,0
rivcd,31.8619,60.6175,0,0,0.347265,0.208514,2
salt_ca0,142.387,45.6625,0,0,2.59454,1.80525,16
salt_cl0,183.099,48.384,0,0,2.51655,1.87198,18
salt_co30,801.998,45.9774,0,0,8.83512,2.55823,16
salt_hco30,120.507,53.7598,0,0,1.60015,0.928395,19
salt_k0,184.471,49.2969,0,0,2.46606,3.01297,15
salt_mg0,1400.23,46.8779,0,0,36.5869,6.2672,31
salt_na0,232.201,44.7082,0,0,4.52974,3.43947,12
salt_so40,128.85,49.4564,0,0,1.65233,2.69985,18
