group,mean_change,std_change,num_at_near_bounds,percent_at_near_bounds,initial_cv,current_cv,num_cv_dec
soil,335.241,52.5914,1,0,21.6716,2.44932,5
aquf,62.1605,73.802,0,0,0.476287,0.266872,1
apex,0,0,0,0,0,0,0
rivbot,0,0,0,0,0,0,0
rivcd,31.8837,63.1319,0,0,0.347265,0.200857,2
salt_ca0,142.212,50.7752,0,0,2.59454,2.02107,18
salt_cl0,192.571,53.8768,0,0,2.51655,1.5877,21
salt_co30,880.687,50.5307,0,0,8.83512,1.47102,20
salt_hco30,118.123,57.3503,0,0,1.60015,0.741407,20
salt_k0,182.116,54.7114,0,0,2.46606,1.74237,19
salt_mg0,1495.01,51.5943,0,0,36.5869,4.32951,33
salt_na0,229.043,49.9487,0,0,4.52974,3.93871,17
salt_so40,131.8,53.7037,0,0,1.65233,1.19284,22
