group,mean_change,std_change,num_at_near_bounds,percent_at_near_bounds,initial_cv,current_cv,num_cv_dec
soil,336.357,52.8821,1,0,21.6716,2.46596,5
aquf,62.4181,73.229,0,0,0.476287,0.27394,1
apex,0,0,0,0,0,0,0
rivbot,0,0,0,0,0,0,0
rivcd,31.7641,63.4023,0,0,0.347265,0.197776,2
salt_ca0,141.674,50.6927,0,0,2.59454,2.16593,18
salt_cl0,193.118,53.5226,0,0,2.51655,1.71506,21
salt_co30,879.294,50.5828,0,0,8.83512,1.48195,20
salt_hco30,117.933,57.4773,0,0,1.60015,0.737905,20
salt_k0,182.456,54.5862,0,0,2.46606,1.79933,19
salt_mg0,1499.63,51.6032,0,0,36.5869,2.94177,34
salt_na0,227.109,49.8324,0,0,4.52974,3.06686,18
salt_so40,131.336,53.7165,0,0,1.65233,1.2099,22
