name,obs_mean,obs_std,obs_min,obs_max,obs_stat_min,obs_stat_max,sim_mean,sim_std,sim_min,sim_max,sim_stat_min,sim_stat_max,distance
M012_LSO4_200911,1112.51,144.324,755.763,1481.99,1256.83,968.182,5693.12,1922.4,1590.95,10943,7615.52,3770.71,108.957
M012_LSO4_201005,1877.4,161.913,1390.52,2251.75,2039.31,1715.49,8292.33,2294.11,3060.57,14022.7,10586.4,5998.22,808.823
M012_LSO4_201106,6033.21,166.967,5555.67,6513.01,6200.18,5866.24,16822.7,4457.42,7127.46,26696.8,21280.1,12365.3,614.452
M075_LCA_199203,90649.3,2157.06,85412.1,96349.8,92806.4,88492.3,44392.2,7110.8,29605.8,73642.2,51503,37281.4,11770
M075_LCA_199205,197623,2054.1,192317,203292,199677,195569,39817.7,8121.89,26439.6,77629.2,47939.6,31695.8,114687
M075_LCA_199208,91290.1,2071.76,86073.2,98442.5,93361.9,89218.4,30667.9,6867.71,18819,58227.5,37535.6,23800.2,27845.8
M075_LCA_199211,70009.6,1983.73,64124.5,75334.1,71993.3,68025.9,33651.8,6009.19,22607.1,58528.8,39661,27642.6,5595.68
M075_LCA_199303,125581,1993.73,119923,131839,127575,123587,54827.4,7872.99,37907.4,87471.9,62700.4,46954.4,32450.8
M075_LCA_199305,230365,2027.99,224933,239280,232393,228337,85117,16242.3,60355.8,161784,101359,68874.7,63148.7
M075_LCA_199309,203265,2070.66,196913,208786,205335,201194,34992.1,7557.94,20799.2,70088.4,42550,27434.1,126825
M075_LCA_199411,93700.8,1953.34,88298.2,98242.6,95654.1,91747.4,35249.1,5463.54,23632.9,57429.8,40712.7,29785.6,30868.4
M075_LCA_199501,76373.9,2074.85,69818.6,81837.6,78448.8,74299.1,31093.2,5552.52,18346,53930.8,36645.7,25540.7,15887.8
M075_LCA_199502,117326,2152.46,111347,123461,119479,115174,56525.8,7571.37,39579,86525.1,64097.2,48954.5,24822.1
M075_LCA_199504,117652,2037.29,113071,124810,119690,115615,45368.5,7155.53,31133.8,74902,52524,38212.9,38169
M075_LCA_199505,134933,1894.79,130680,140783,136828,133039,48302.6,8782.35,32985.6,80205,57085,39520.3,50475
M075_LCA_199506,359925,2255.52,354660,365976,362180,357669,106113,16183.1,74138,172440,122296,89929.5,182220
M075_LCA_199508,114003,2008.83,108401,118971,116012,111994,47538.8,7338.47,30846.6,73704.5,54877.3,40200.3,34696.2
M075_LCA_199509,76991.5,2123.25,70288.5,82935.4,79114.7,74868.3,41372.1,7034.8,25356.3,67155,48406.9,34337.3,3133.49
M075_LCA_199510,90765,1902.73,86953.1,96838.5,92667.7,88862.2,39984.6,6623.66,25176.5,65448.7,46608.3,33360.9,21504.4
M075_LCA_199609,19065.1,2138.33,13902.3,24100,21203.4,16926.8,42230.4,6032.51,27126.3,64370.7,48262.9,36197.9,3026.33
M075_LCA_199610,109825,2094.37,104807,117549,111920,107731,49224.5,7179.09,31403.5,72915.3,56403.6,42045.4,31891.8
M075_LCA_199712,87448.8,2007.45,82059.8,92231.6,89456.2,85441.3,47279.1,7047.71,29886,76447,54326.8,40231.4,5612.79
M075_LCA_199805,241233,2096.08,235884,245933,243329,239137,52770.9,6849.12,34526.7,77721.7,59620,45921.8,158162
M075_LCA_199906,310041,1984.69,303474,314578,312026,308056,82667.9,11710.3,51555.4,119656,94378.2,70957.6,183818
M075_LCA_199907,269381,1928.32,263167,273514,271309,267452,64031.6,9440.48,42047.9,94412.6,73472.1,54591.1,168754
M075_LCA_199908,245532,1989.45,240068,251154,247522,243543,61195.3,7772.5,42252.6,89846,68967.8,53422.8,150222
M075_LCA_199912,78198.4,2153.37,72276.2,83229,80351.8,76045,42802.1,6466.06,27142.9,66264.7,49268.1,36336,6011.54
M075_LCA_200004,101366,2194.29,95068.8,105661,103560,99171.7,72575.3,8177.66,52989.7,91245.5,80753,64397.6,3823.3
M075_LCA_200011,77145.6,2073.95,70539.7,82649.1,79219.6,75071.7,36849.5,5795.56,22823.3,58794.7,42645.1,31054,11745
M075_LCA_200104,114486,2121.14,108466,120338,116607,112365,53107.9,7530.31,36112.8,82717.9,60638.3,45577.6,25747.7
M075_LCA_200207,2466.52,2322.54,-4014.36,10203.9,4789.06,143.988,41644.4,5603.77,27752.4,61105.9,47248.1,36040.6,17548.5
M075_LCA_200305,139165,2021.16,132195,143761,141186,137144,56442.8,7276.26,39716.6,81608.4,63719.1,49166.6,50587
M075_LCA_200307,24796.5,2150.94,18499.1,30195.2,26947.5,22645.6,48557.6,6218.78,34737.1,71507.9,54776.4,42338.8,4541.91
M075_LCA_200403,103310,2089.78,98759,109534,105399,101220,55931.9,8052.75,39021.8,85147.7,63984.6,47879.1,13611.3
M075_LCA_200407,112829,1914.42,107791,118060,114743,110914,40819.2,6407.56,25496.3,62789.1,47226.7,34411.6,45001.7
M075_LCA_200501,89000.7,2190.4,83863.3,95342,91191.1,86810.3,47282.5,6639.61,31451.9,70847.3,53922.1,40642.9,13016
M075_LCA_200906,150696,2172.91,145493,157774,152869,148523,87899,12320.1,60275.9,136618,100219,75578.9,8874.47
M075_LCL_200207,840.575,276.945,54.0576,1542.74,1117.52,563.63,19202.8,4872.59,6421.7,31696.3,24075.4,14330.2,4878.96
M075_LCO3_199201,5828.77,182.917,5330.82,6366.09,6011.69,5645.85,2670.29,154.387,2087.04,2843,2824.68,2515.91,2487.82
M075_LCO3_199203,9932.39,175.516,9546.32,10404.7,10107.9,9756.87,1542.63,74.3674,1128.46,1702.09,1617,1468.26,7844.23
M075_LCO3_199205,26581.1,194.18,26136.1,27201.9,26775.3,26386.9,4998.98,137.743,4525.35,5275.51,5136.73,4861.24,20860.6
M075_LCO3_199208,11083.5,183.474,10652.4,11635,11267,10900.1,3524.82,93.6752,2749.48,3678.81,3618.49,3431.14,6973.55
M075_LCO3_199211,6298.33,180.343,5918.3,6828.91,6478.67,6117.99,10562,125.204,10175.4,10781.4,10687.2,10436.8,3346.53
M075_LCO3_199303,12460.8,166.954,12055.3,12887.5,12627.8,12293.9,3399.46,59.9546,3020.13,3653.64,3459.41,3339.5,8401.7
M075_LCO3_199305,28431.1,186.603,27880.8,28908.4,28617.7,28244.5,13313.5,112.637,12916.2,13565.4,13426.2,13200.9,14315.4
M075_LCO3_199309,23201.4,167.524,22804.1,23610.7,23368.9,23033.9,6200.87,120.601,5475.61,6404.44,6321.47,6080.27,16399.7
M075_LCO3_199411,7006.79,178.826,6606.82,7523.73,7185.61,6827.96,3884.83,98.4653,3332.52,4173.05,3983.3,3786.37,2433.77
M075_LCO3_199501,5358.12,161.617,4927.7,5747.75,5519.73,5196.5,3493.95,63.765,3174.12,3698.78,3557.71,3430.18,1228.93
M075_LCO3_199502,9144.72,187.11,8627.12,9649.11,9331.83,8957.61,4372.3,138.151,4008.31,4706.02,4510.45,4234.15,3921.1
M075_LCO3_199504,10134.4,183.065,9667.52,10646.6,10317.4,9951.3,4029.09,83.975,3676.01,4282.09,4113.06,3945.11,5385.42
M075_LCO3_199505,12567.6,159.712,12171,12988.9,12727.4,12407.9,5514.04,65.5472,5127.48,5670.17,5579.59,5448.49,6500.85
M075_LCO3_199506,40500.9,195.65,39933.5,40978.2,40696.5,40305.2,22176.9,241.548,21334.7,22655.6,22418.4,21935.3,17277.9
M075_LCO3_199508,10470.2,184.697,9874.24,11014,10654.9,10285.5,6115.48,136.882,5310.2,6412.94,6252.36,5978.6,3461.3
M075_LCO3_199509,6300.46,181.744,5807.96,6694.45,6482.21,6118.72,5097.58,108.153,4332.98,5378.2,5205.73,4989.43,429.756
M075_LCO3_199510,6864.68,183.854,6312,7383.28,7048.53,6680.83,10133.6,134.239,9684.61,10423.4,10267.9,9999.38,2301.33
M075_LCO3_199609,1247.28,202.384,660.54,1840.89,1449.67,1044.9,6202.54,364.707,5010.82,6838.78,6567.25,5837.83,3169.93
M075_LCO3_199610,7121.58,184.921,6618.32,7612.67,7306.5,6936.66,12325.8,512.377,10960.1,13387.1,12838.2,11813.4,3347.45
M075_LCO3_199805,17677.1,173.395,17304.5,18116.9,17850.5,17503.7,7096.54,267.072,6420.91,7874.09,7363.61,6829.47,9430.44
M075_LCO3_199906,22145,171.219,21717.2,22589.9,22316.2,21973.8,15071.9,527.004,13491.5,15756.4,15598.9,14544.9,5960.77
M075_LCO3_199907,18730.2,183.222,18200.9,19164,18913.4,18547,6991.5,367.352,5649.99,7529.53,7358.86,6624.15,10671.4
M075_LCO3_199908,16378.1,175.485,15954.1,16812.5,16553.6,16202.6,7600.19,853.389,5271.71,9033.84,8453.58,6746.8,6920.26
M075_LCO3_200007,1567.77,188.643,944.432,1974.25,1756.41,1379.12,5473.09,695.402,2425.04,6700.61,6168.49,4777.68,450.788
M075_LCO3_200108,3294.22,171.84,2718.89,3767.11,3466.06,3122.38,5491.73,1221.57,4409.33,10322.2,6713.3,4270.16,642.227
M075_LCO3_200205,1903.73,178.702,1472.13,2345.14,2082.44,1725.03,4914.52,1352.32,3587.41,9216.97,6266.84,3562.2,1242.27
M075_LCO3_200207,73.6619,201.014,-476.311,546.446,274.676,-127.352,2362.95,999.692,1397.04,5476.89,3362.65,1363.26,850.594
M075_LCO3_200305,5758.07,176.638,5203.13,6199.61,5934.71,5581.43,9776.58,277.79,9009.44,10694.7,10054.4,9498.79,2809.83
M075_LCO3_200307,898.662,206.784,304.825,1443.13,1105.45,691.878,3232.59,455.068,2477.92,3981.13,3687.66,2777.52,1034.79
M075_LCO3_200408,713.091,175.292,333.596,1166.21,888.383,537.799,3393.27,501.814,2407.12,4273.26,3895.08,2891.46,1240.91
M075_LCO3_200508,1709.13,183.287,1284.27,2322.23,1892.41,1525.84,4795.77,788.016,3446.93,8640.71,5583.78,4007.75,1124.7
M075_LCO3_200607,1464.62,169.739,1090.31,1934.08,1634.35,1294.88,6223.26,696.408,5385.43,8731.93,6919.67,5526.86,3451.35
M075_LCO3_200609,2291.4,196.839,1871.6,2750.98,2488.23,2094.56,8938.13,817.832,5368.4,12070.3,9755.96,8120.3,2617.41
M075_LCO3_200611,1984.44,177.298,1517.06,2396.96,2161.73,1807.14,4817.73,1096.39,2867.74,7873.74,5914.12,3721.34,470.777
M075_LCO3_200707,1646.16,178.961,1230.25,2126.25,1825.12,1467.2,9805.81,1245.03,6733.97,12858.2,11050.8,8560.78,4607.72
M075_LCO3_200810,1277.36,185.963,742.627,1696.31,1463.33,1091.4,17650.4,1729.82,14190.3,22114.3,19380.2,15920.6,12493.9
M075_LCO3_200812,1158.81,179.684,649.92,1734.55,1338.49,979.125,8061.31,1455.08,5422.3,12156.5,9516.39,6606.23,3687.75
M075_LCO3_200902,1200.18,190.096,612.645,1660.21,1390.28,1010.09,6609.16,1348.84,4092.64,10849.3,7958.01,5260.32,2432.43
M075_LCO3_200904,2363.41,190.378,1867.05,2866.51,2553.79,2173.03,8096.67,1356.66,5779.57,12908.4,9453.33,6740,2913.06
