group,mean_change,std_change,num_at_near_bounds,percent_at_near_bounds,initial_cv,current_cv,num_cv_dec
soil,674.051,45.2499,4,0,21.6716,1.70032,5
aquf,49.4122,51.5086,0,0,0.476287,0.475546,0
apex,0,0,0,0,0,0,0
rivbot,0,0,0,0,0,0,0
rivcd,32.1532,58.3289,0,0,0.347265,0.241029,2
salt_ca0,156.592,41.7612,0,0,2.59454,4.36473,16
salt_cl0,186.072,44.7751,0,0,2.51655,1.31431,19
salt_co30,790.506,41.9206,0,0,8.83512,82.0307,14
salt_hco30,116.355,50.0082,0,0,1.60015,0.830751,17
salt_k0,177.926,46.1582,0,0,2.46606,1.97169,14
salt_mg0,1595.35,43.0676,0,0,36.5869,8.88714,28
salt_na0,240.479,41.4273,0,0,4.52974,3.13817,12
salt_so40,130.069,46.3202,8,0,1.65233,14.6037,16
