parnme,partrans,parchglim,parval1,parlbnd,parubnd,pargp,scale,offset,dercom,pname,inst,ptype,pstyle,i,j,x,y,zone,usecol,idx0,idx1,idx2
aquf_caco3,log,factor,1.00E-05,1.10E-10,5.00E-01,aquf,1.00E+00,0.00E+00,1,,,,,,,,,,,,,
aquf_caso4,log,factor,1.00E-05,1.10E-10,5.00E-01,aquf,1.00E+00,0.00E+00,1,,,,,,,,,,,,,
aquf_mgso4,log,factor,1.00E-05,1.10E-10,5.00E-01,aquf,1.00E+00,0.00E+00,1,,,,,,,,,,,,,
soil_caco_h,log,factor,2.37E+01,1.92E+01,2.83E+01,soil,1.00E+00,0.00E+00,1,,,,,,,,,,,,,
soil_caco_l,log,factor,1.26E+01,1.13E+01,1.40E+01,soil,1.00E+00,0.00E+00,1,,,,,,,,,,,,,
soil_caco_m,log,factor,1.58E+01,1.51E+01,1.66E+01,soil,1.00E+00,0.00E+00,1,,,,,,,,,,,,,
soil_caco_mh,log,factor,1.79E+01,1.66E+01,1.92E+01,soil,1.00E+00,0.00E+00,1,,,,,,,,,,,,,
soil_caco_ml,log,factor,1.46E+01,1.40E+01,1.51E+01,soil,1.00E+00,0.00E+00,1,,,,,,,,,,,,,
soil_caso_h,log,factor,5.82E+00,3.11E+00,8.53E+00,soil,1.00E+00,0.00E+00,1,,,,,,,,,,,,,
soil_caso_l,log,factor,1.87E-01,9.40E-02,2.79E-01,soil,1.00E+00,0.00E+00,1,,,,,,,,,,,,,
soil_caso_m,log,factor,9.99E-01,6.78E-01,1.32E+00,soil,1.00E+00,0.00E+00,1,,,,,,,,,,,,,
soil_caso_mh,log,factor,2.21E+00,1.32E+00,3.11E+00,soil,1.00E+00,0.00E+00,1,,,,,,,,,,,,,
soil_caso_ml,log,factor,4.79E-01,2.79E-01,6.78E-01,soil,1.00E+00,0.00E+00,1,,,,,,,,,,,,,
p12,fixed,factor,1.61E+00,1.50E+00,2.50E+00,apex,1.00E+00,0.00E+00,1,,,,,,,,,,,,,
p15,fixed,factor,2.00E-05,1.00E-05,3.00E-01,apex,1.00E+00,0.00E+00,1,,,,,,,,,,,,,
