group,mean_change,std_change,num_at_near_bounds,percent_at_near_bounds,initial_cv,current_cv,num_cv_dec
soil,584.133,41.5931,109,8,21.6716,4.45014,5
aquf,35.7628,34.9998,1,0,0.476287,0.500947,0
apex,0,0,0,0,0,0,0
rivbot,0,0,0,0,0,0,0
rivcd,28.893,55.579,0,0,0.347265,0.206446,2
salt_ca0,155.36,37.0211,0,0,2.59454,8.27703,14
salt_cl0,188.879,40.1119,0,0,2.51655,1.24126,17
salt_co30,795.083,37.6122,1,0,8.83512,3.38188,18
salt_hco30,114.569,45.6436,0,0,1.60015,0.883995,14
salt_k0,181.295,42.5344,20,0,2.46606,2.20114,12
salt_mg0,1766.97,38.7123,0,0,36.5869,9.85159,26
salt_na0,240.663,37.0362,0,0,4.52974,4.94556,11
salt_so40,122.913,41.7945,8,0,1.65233,22.333,11
