group,mean_change,std_change,num_at_near_bounds,percent_at_near_bounds,initial_cv,current_cv,num_cv_dec
soil,314.719,52.3345,0,0,21.6716,3.89032,5
aquf,62.6344,72.7915,0,0,0.476287,0.287036,1
apex,0,0,0,0,0,0,0
rivbot,0,0,0,0,0,0,0
rivcd,32.2228,63.4772,0,0,0.347265,0.201344,2
salt_ca0,143.636,50.0308,0,0,2.59454,4.60206,19
salt_cl0,194.274,53.26,0,0,2.51655,2.76379,21
salt_co30,879.432,50.075,0,0,8.83512,1.46335,21
salt_hco30,117.823,57.3636,0,0,1.60015,0.734061,20
salt_k0,184.691,54.0855,0,0,2.46606,2.22387,19
salt_mg0,1503.66,51.0923,0,0,36.5869,13.1647,33
salt_na0,234.61,49.6863,0,0,4.52974,2.19185,18
salt_so40,131.778,53.243,0,0,1.65233,1.34327,22
