parnme,partrans,parchglim,parval1,parlbnd,parubnd,pargp,scale,offset,dercom,pname,inst,ptype,pstyle,i,j,x,y,zone,usecol,idx0,idx1,idx2
aquf_caco3,log,factor,1.0000000E-05,1.1000000E-10,5.0000000E-01,aquf,1.00E+00,0.00E+00,1,,,,,,,,,,,,,
aquf_caso4,log,factor,1.0000000E-05,1.1000000E-10,5.0000000E-01,aquf,1.00E+00,0.00E+00,1,,,,,,,,,,,,,
aquf_mgso4,log,factor,1.0000000E-05,1.1000000E-10,5.0000000E-01,aquf,1.00E+00,0.00E+00,1,,,,,,,,,,,,,
soil_caco_h,log,factor,2.3700000E+01,1.1000000E-10,2.8300000E+01,soil,1.00E+00,0.00E+00,1,,,,,,,,,,,,,
soil_caco_l,log,factor,1.2600000E+01,1.1000000E-10,1.4000000E+01,soil,1.00E+00,0.00E+00,1,,,,,,,,,,,,,
soil_caco_m,log,factor,1.5800000E+01,1.1000000E-10,1.6600000E+01,soil,1.00E+00,0.00E+00,1,,,,,,,,,,,,,
soil_caco_mh,log,factor,1.7900000E+01,1.1000000E-10,1.9200000E+01,soil,1.00E+00,0.00E+00,1,,,,,,,,,,,,,
soil_caco_ml,log,factor,1.4600000E+01,1.1000000E-10,1.5100000E+01,soil,1.00E+00,0.00E+00,1,,,,,,,,,,,,,
soil_caso_h,log,factor,5.8200000E+00,1.1000000E-10,8.5300000E+00,soil,1.00E+00,0.00E+00,1,,,,,,,,,,,,,
soil_caso_l,log,factor,1.8700000E-01,1.1000000E-10,2.7900000E-01,soil,1.00E+00,0.00E+00,1,,,,,,,,,,,,,
soil_caso_m,log,factor,9.9900000E-01,1.1000000E-10,1.3200000E+00,soil,1.00E+00,0.00E+00,1,,,,,,,,,,,,,
soil_caso_mh,log,factor,2.2100000E+00,1.1000000E-10,3.1100000E+00,soil,1.00E+00,0.00E+00,1,,,,,,,,,,,,,
soil_caso_ml,log,factor,4.7900000E-01,1.1000000E-10,6.7800000E-01,soil,1.00E+00,0.00E+00,1,,,,,,,,,,,,,
p12,fixed,factor,1.6100000E+00,1.5000000E+00,2.5000000E+00,apex,1.00E+00,0.00E+00,1,,,,,,,,,,,,,
p15,fixed,factor,2.0000000E-05,1.0000000E-05,3.0000000E-01,apex,1.00E+00,0.00E+00,1,,,,,,,,,,,,,
p16,fixed,factor,1.4500000E+00,1.0000000E+00,1.5000000E+00,apex,1.00E+00,0.00E+00,1,,,,,,,,,,,,,
p17,fixed,factor,5.0000000E-01,1.0000000E-05,5.0000000E-01,apex,1.00E+00,0.00E+00,1,,,,,,,,,,,,,
p20,fixed,factor,4.0000000E-01,5.0000000E-02,4.0000000E-01,apex,1.00E+00,0.00E+00,1,,,,,,,,,,,,,
p23,fixed,factor,3.2000000E-03,2.3000000E-03,3.2000000E-03,apex,1.00E+00,0.00E+00,1,,,,,,,,,,,,,
p25,fixed,factor,1.0000000E-05,1.0000000E-05,2.0000000E+00,apex,1.00E+00,0.00E+00,1,,,,,,,,,,,,,
p40,fixed,factor,1.0000000E+00,1.0000000E-03,1.0000000E+00,apex,1.00E+00,0.00E+00,1,,,,,,,,,,,,,
p49,fixed,factor,3.1700000E+00,1.0000000E-05,1.5000000E+01,apex,1.00E+00,0.00E+00,1,,,,,,,,,,,,,
p5,fixed,factor,1.1500000E-01,1.0000000E-05,1.0000000E+00,apex,1.00E+00,0.00E+00,1,,,,,,,,,,,,,
p50,fixed,factor,3.0000000E-01,5.0000000E-02,3.0000000E-01,apex,1.00E+00,0.00E+00,1,,,,,,,,,,,,,
p51,fixed,factor,9.0000000E-01,1.0000000E-01,9.0000000E-01,apex,1.00E+00,0.00E+00,1,,,,,,,,,,,,,
p61,fixed,factor,1.1500000E-01,5.0000000E-02,9.5000000E-01,apex,1.00E+00,0.00E+00,1,,,,,,,,,,,,,
p90,fixed,factor,1.0000000E+00,1.0000000E+00,1.0000000E+02,apex,1.00E+00,0.00E+00,1,,,,,,,,,,,,,
p91,fixed,factor,8.7200000E-02,1.0000000E-03,1.0000000E+00,apex,1.00E+00,0.00E+00,1,,,,,,,,,,,,,
p92,fixed,factor,2.0000000E+00,1.0000000E-01,2.0000000E+00,apex,1.00E+00,0.00E+00,1,,,,,,,,,,,,,
rivbot_rg01,fixed,factor,5.0000000E+00,1.0000000E-01,1.0000000E+01,rivbot,1.00E+00,-5.00E+00,1,,,,,,,,,,,,,
rivbot_rg02,fixed,factor,5.0000000E+00,1.0000000E-01,1.0000000E+01,rivbot,1.00E+00,-5.00E+00,1,,,,,,,,,,,,,
rivbot_rg03,fixed,factor,5.0000000E+00,1.0000000E-01,1.0000000E+01,rivbot,1.00E+00,-5.00E+00,1,,,,,,,,,,,,,
rivbot_rg04,fixed,factor,5.0000000E+00,1.0000000E-01,1.0000000E+01,rivbot,1.00E+00,-5.00E+00,1,,,,,,,,,,,,,
rivbot_rg05,fixed,factor,5.0000000E+00,1.0000000E-01,1.0000000E+01,rivbot,1.00E+00,-5.00E+00,1,,,,,,,,,,,,,
rivcd_rg01,log,factor,5.0000000E+01,1.0000000E-01,1.0000000E+02,rivcd,1.00E+00,-5.00E+01,1,,,,,,,,,,,,,
rivcd_rg02,log,factor,5.0000000E+01,1.0000000E-01,1.0000000E+02,rivcd,1.00E+00,-5.00E+01,1,,,,,,,,,,,,,
rivcd_rg03,log,factor,5.0000000E+01,1.0000000E-01,1.0000000E+02,rivcd,1.00E+00,-5.00E+01,1,,,,,,,,,,,,,
rivcd_rg04,log,factor,5.0000000E+01,1.0000000E-01,1.0000000E+02,rivcd,1.00E+00,-5.00E+01,1,,,,,,,,,,,,,
rivcd_rg05,log,factor,5.0000000E+01,1.0000000E-01,1.0000000E+02,rivcd,1.00E+00,-5.00E+01,1,,,,,,,,,,,,,
salt_ca000,log,factor,2.4501000E+02,1.1000000E-10,4.1651700E+02,salt_ca0,1.00E+00,0.00E+00,1,,,,,,,,,,,,,
salt_ca001,log,factor,1.7536000E+02,1.1000000E-10,2.9811200E+02,salt_ca0,1.00E+00,0.00E+00,1,,,,,,,,,,,,,
salt_ca002,log,factor,1.4166000E+02,1.1000000E-10,2.4082200E+02,salt_ca0,1.00E+00,0.00E+00,1,,,,,,,,,,,,,
salt_ca003,log,factor,1.4794000E+02,1.1000000E-10,2.5149800E+02,salt_ca0,1.00E+00,0.00E+00,1,,,,,,,,,,,,,
salt_ca004,log,factor,1.5076000E+02,1.1000000E-10,2.5629200E+02,salt_ca0,1.00E+00,0.00E+00,1,,,,,,,,,,,,,
salt_ca005,log,factor,1.4982000E+02,1.1000000E-10,2.5469400E+02,salt_ca0,1.00E+00,0.00E+00,1,,,,,,,,,,,,,
salt_ca006,log,factor,1.3757000E+02,1.1000000E-10,2.3386900E+02,salt_ca0,1.00E+00,0.00E+00,1,,,,,,,,,,,,,
salt_ca007,log,factor,1.4973000E+02,1.1000000E-10,2.5454100E+02,salt_ca0,1.00E+00,0.00E+00,1,,,,,,,,,,,,,
salt_ca008,log,factor,1.4893000E+02,1.1000000E-10,2.5318100E+02,salt_ca0,1.00E+00,0.00E+00,1,,,,,,,,,,,,,
salt_ca009,log,factor,1.3725000E+02,1.1000000E-10,2.3332500E+02,salt_ca0,1.00E+00,0.00E+00,1,,,,,,,,,,,,,
salt_ca010,log,factor,1.2959000E+02,1.1000000E-10,2.2030300E+02,salt_ca0,1.00E+00,0.00E+00,1,,,,,,,,,,,,,
salt_ca011,log,factor,8.8520100E+01,1.1000000E-10,1.5048417E+02,salt_ca0,1.00E+00,0.00E+00,1,,,,,,,,,,,,,
salt_ca012,log,factor,8.2540100E+01,1.1000000E-10,1.4031817E+02,salt_ca0,1.00E+00,0.00E+00,1,,,,,,,,,,,,,
salt_ca013,log,factor,6.9680100E+01,1.1000000E-10,1.1845617E+02,salt_ca0,1.00E+00,0.00E+00,1,,,,,,,,,,,,,
salt_ca014,log,factor,1.0238000E+02,1.1000000E-10,1.7404600E+02,salt_ca0,1.00E+00,0.00E+00,1,,,,,,,,,,,,,
