group,mean_change,std_change,num_at_near_bounds,percent_at_near_bounds,initial_cv,current_cv,num_cv_dec
soil,549.268,43.5839,1,0,21.6716,3.69921,5
aquf,42.3796,42.8759,1,0,0.476287,0.491026,0
apex,0,0,0,0,0,0,0
rivbot,0,0,0,0,0,0,0
rivcd,29.6722,57.3611,0,0,0.347265,0.209363,2
salt_ca0,154.235,39.474,0,0,2.59454,18.1645,14
salt_cl0,189.642,42.5068,0,0,2.51655,5.85283,18
salt_co30,779.198,39.7769,0,0,8.83512,7.83331,15
salt_hco30,117.292,48.261,0,0,1.60015,0.804869,14
salt_k0,177.395,44.8526,3,0,2.46606,2.34594,12
salt_mg0,1645.08,41.2033,0,0,36.5869,5.38037,27
salt_na0,232.806,39.3125,0,0,4.52974,5.446,10
salt_so40,127.309,44.3841,4,0,1.65233,4.68526,14
