group,mean_change,std_change,num_at_near_bounds,percent_at_near_bounds,initial_cv,current_cv,num_cv_dec
soil,856.701,31.1319,105,7,21.6716,1.39915,6
aquf,20.6393,23.37,5,1,0.476287,0.419044,0
apex,0,0,0,0,0,0,0
rivbot,0,0,0,0,0,0,0
rivcd,17.0532,38.7153,0,0,0.347265,0.238063,1
salt_ca0,155.081,25.7009,0,0,2.59454,2.86957,7
salt_cl0,154.08,26.8195,1,0,2.51655,2.08113,8
salt_co30,632.774,25.1644,1,0,8.83512,5.81598,13
salt_hco30,82.0538,28.9531,0,0,1.60015,3.00372,6
salt_k0,132.597,26.6554,3,0,2.46606,3.36392,10
salt_mg0,2335.12,26.9747,0,0,36.5869,3.42689,29
salt_na0,175.077,25.2851,0,0,4.52974,4.36379,7
salt_so40,91.5907,28.3349,1,0,1.65233,1.86435,6
