name,obs_mean,obs_std,obs_min,obs_max,obs_stat_min,obs_stat_max,sim_mean,sim_std,sim_min,sim_max,sim_stat_min,sim_stat_max,distance
M009_LCA_199204,231.913,1.00326,228.652,234.624,232.916,230.91,644.492,165.833,471.378,1480.89,810.325,478.659,236.754
M009_LCA_199205,480.056,0.941949,477.505,482.612,480.998,479.114,1761.08,1122.58,706.248,6610.54,2883.66,638.496,223.636
M009_LCA_199305,711.176,0.958876,708.1,714.148,712.135,710.217,2705.49,1267.26,1563.31,7893.03,3972.74,1438.23,849.161
M009_LCA_199506,1672.02,0.936977,1669.13,1674.96,1672.96,1671.09,7502,5859.33,2283.11,32966.8,13361.3,1642.66,608.149
M009_LCA_199605,875.09,0.954939,872.639,877.902,876.045,874.135,6416.16,6761.16,1106.73,37615.4,13177.3,-345.009,228.831
M009_LCA_199705,511.012,1.05471,508.263,514.367,512.067,509.958,9843.2,10516.3,1400.21,64369.2,20359.5,-673.119,885.844
M009_LCA_199706,805.985,1.01891,802.821,808.817,807.004,804.966,11235.6,12653.6,1138.98,78003,23889.2,-1417.98,330.16
M009_LCA_199805,395.959,1.04023,393.044,399.781,397,394.919,7296.46,7626.68,1246.15,49445.3,14923.1,-330.226,846.367
M009_LCA_199809,164.054,1.0494,160.831,166.532,165.104,163.005,3357.23,4083.06,203.167,27367.3,7440.29,-725.821,36.6351
M009_LCA_199906,413.987,0.961503,410.749,416.746,414.948,413.025,17879.7,21187.7,1515.65,142176,39067.4,-3308.04,1098.9
M009_LCA_200005,547.003,0.956912,543.928,549.51,547.96,546.046,13747.2,16569.4,1624.77,116423,30316.6,-2822.21,1075.26
M009_LCA_200007,272.956,1.02158,269.382,276.061,273.978,271.934,4562.69,5868.42,301.432,43589.3,10431.1,-1305.73,25.3704
M009_LCA_200008,236.047,1.01382,233.124,238.768,237.061,235.033,4629.11,5885.05,348.635,43444.3,10514.2,-1255.94,109.867
M009_LCA_200009,228.913,0.976027,226.315,231.941,229.889,227.937,4664.8,5957.78,333.432,44157.7,10622.6,-1292.98,101.491
M009_LCA_200011,206.03,0.952005,203.159,209.511,206.982,205.078,4557.3,5928.27,273.414,44604,10485.6,-1370.97,63.9031
M009_LCA_200012,159.858,1.00336,156.278,163.519,160.861,158.854,4553.19,5943.22,271.76,45104,10496.4,-1390.03,108.241
M009_LCA_200101,154.001,0.951915,150.572,156.576,154.953,153.049,4547.06,5947.68,281.05,44880.3,10494.7,-1400.62,124.474
M009_LCA_200103,104.007,0.957331,101.479,106.309,104.964,103.05,4533.09,5926.86,272.278,44964.2,10460,-1393.77,165.969
M009_LCA_200105,591.96,1.02186,588.966,595.34,592.982,590.938,15456.8,17696.9,2565.38,133751,33153.6,-2240.08,1970.04
M009_LCA_200107,305.931,0.98869,302.226,308.763,306.919,304.942,6466.35,8520.11,489.079,68023.2,14986.5,-2053.77,180.315
M009_LCA_200108,269.969,0.948697,267.759,272.961,270.918,269.02,6418.97,8511.79,449.035,68124.5,14930.8,-2092.82,176.074
M009_LCA_200109,201.966,0.98061,198.954,204.642,202.947,200.986,6170.51,8330.97,253.44,66698.4,14501.5,-2160.47,48.7978
M009_LCA_200111,133.959,1.0766,131.193,136.8,135.036,132.883,5970.3,8174.58,218.907,65487,14144.9,-2204.29,82.1068
M009_LCA_200204,257.041,0.954905,254.879,259.739,257.996,256.087,5756.65,7797.57,294.519,62133.5,13554.2,-2040.92,34.7798
M009_LCA_200205,307.048,0.980022,303.538,309.341,308.028,306.068,9748.83,12250,951.72,87710.1,21998.8,-2501.16,642.379
M009_LCA_200206,241.186,1.06168,238.074,244.615,242.248,240.125,6099.82,8148.37,352.94,63506.7,14248.2,-2048.55,108.325
M009_LCA_200207,211.03,1.01861,208.039,214.592,212.048,210.011,5748.35,7804.64,272.135,61617.8,13553,-2056.29,57.5434
M009_LCA_200209,181.967,1.0506,179.111,184.884,183.018,180.916,5866.58,7740.46,412.582,60903,13607,-1873.88,227.698
M009_LCA_200212,142,1.01774,139.764,144.993,143.018,140.982,5448.93,7474.46,169.609,58652.7,12923.4,-2025.52,24.6153
M009_LCA_200307,294.925,1.01202,292.627,298.245,295.937,293.913,6273.81,8540.87,318.164,69124.8,14814.7,-2267.06,19.9187
M009_LCA_200310,147.968,0.984185,145.448,150.604,148.952,146.984,6121.57,8244.04,391.991,66708.8,14365.6,-2122.47,241.387
M009_LCA_200405,544.004,0.988317,541.306,547.187,544.992,543.015,17467.9,20981,2573.1,155029,38448.8,-3513.1,2025.91
M009_LMG_199604,7.47198,1.00636,4.67438,10.3265,8.47834,6.46562,245.129,311.828,16.3759,2952.12,556.957,-66.6992,6.04939
M009_LMG_199605,55.0196,0.895643,52.4605,57.5895,55.9152,54.1239,913.999,1161.57,61.9213,11255,2075.56,-247.567,4.33178
M009_LMG_199608,6.48568,1.02968,3.57436,8.89249,7.51536,5.456,320.767,387.276,18.4373,3443.8,708.043,-66.5094,9.54483
M009_LMG_199610,14.0662,0.977091,11.4171,16.5467,15.0433,13.0891,615.626,708.745,44.13,6254.02,1324.37,-93.1189,27.5833
