iteration,total_runs,obs_realization,par_realization,d009_cca,d009_ck,d009_cmg,d009_cna,d009_cso4,d009_lca,d009_lk,d009_lmg,d009_lna,d009_lso4,d012_cca,d012_ccl,d012_chco3,d012_ck,d012_cmg,d012_cna,d012_cso4,d012_lca,d012_lcl,d012_lhco3,d012_lk,d012_lmg,d012_lna,d012_lso4,d075_cca,d075_ccl,d075_cco,d075_chco3,d075_ck,d075_cmg,d075_cna,d075_cso4,d075_lca,d075_lcl,d075_lco,d075_lhco3,d075_lk,d075_lmg,d075_lna,d075_lso4,m009_lca,m009_lk,m009_lmg,m009_lna,m009_lso4,m012_lca,m012_lcl,m012_lhco3,m012_lk,m012_lmg,m012_lna,m012_lso4,m075_lca,m075_lcl,m075_lco,m075_lhco3,m075_lk,m075_lmg,m075_lna,m075_lso4,gw_098,gw_124,str_012,str_057,str_072,str_075
0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.06767e+09,1.84461e+07,1.62324e+07,1.36077e+09,1.20879e+09,1.89021e+10,2.83548e+11,3.42681e+11,8.83378e+07,7.73681e+07,1.19547e+10,5.4199e+09,1.48617e+13,9.72458e+12,3.34258e+09,9.00124e+12,8.91346e+08,3.75152e+10,2.49664e+12,3.72137e+11,0,308.772,12652.2,66748.7,0,75977.5
0,300,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.01595e+08,962342,1.96095e+08,1.67969e+10,2.36851e+08,6.05984e+09,4.76758e+10,8.58093e+11,6.87381e+07,1.5764e+09,9.1168e+10,1.36e+10,8.43505e+11,2.76554e+12,3.32883e+09,1.0859e+13,3.79326e+09,5.78624e+10,6.33228e+12,7.19972e+12,0,305.925,12672.8,66797,0,76324.7
0,300,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2144e+09,1.72058e+06,6.52418e+07,5.64508e+09,2.1895e+08,1.68624e+10,2.77127e+10,1.7554e+11,4.96517e+07,3.16468e+08,3.51337e+10,2.3937e+09,6.20098e+12,1.24515e+13,3.28454e+09,1.44615e+12,6.79142e+08,5.29929e+09,1.35725e+13,1.61665e+13,0,305.505,12670.3,66998.3,0,76603.1
0,300,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.08177e+10,3.30321e+06,9.55976e+07,1.78442e+10,7.80928e+07,5.13118e+10,1.10785e+10,7.06316e+11,1.55043e+07,4.77451e+08,1.02185e+11,6.06005e+08,1.10487e+13,5.38471e+11,3.28881e+09,1.76058e+13,7.01057e+08,1.81175e+10,2.08945e+13,1.89253e+12,0,307.283,12646.8,67090.5,0,76541.2
0,300,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.11291e+10,1.09646e+07,1.13394e+08,1.56446e+08,5.98568e+07,3.78782e+10,5.5182e+09,3.7925e+12,5.19191e+07,1.77718e+09,5.8624e+09,2.27839e+10,2.29832e+11,4.76767e+11,3.69408e+09,5.90111e+13,3.2293e+08,6.9928e+10,1.98497e+12,2.92906e+13,0,307.276,12655.6,66649.1,0,76169.3
0,300,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.85974e+08,1.49397e+06,2.51848e+08,4.29741e+08,7.42465e+08,2.76759e+09,1.46598e+11,2.14134e+12,5.19942e+06,8.09554e+08,4.23799e+09,2.56746e+11,1.55301e+12,4.52851e+12,3.38326e+09,2.69229e+13,4.40612e+08,1.3315e+10,1.84939e+12,1.18389e+13,0,306.319,12651.4,66800.9,0,76422
0,300,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.66181e+08,58426.6,1.52266e+07,1.41801e+09,6.02326e+08,4.77916e+09,6.51266e+10,1.93971e+10,638277,7.56822e+07,1.04209e+10,5.16567e+09,2.48523e+11,1.81179e+13,3.29911e+09,7.57803e+12,4.66087e+08,4.86512e+10,7.01172e+12,2.27382e+13,0,305.699,12634.5,66761.4,0,75988.1
0,300,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.64895e+08,1.31405e+06,7.3819e+08,2.38963e+08,9.75976e+09,3.58372e+09,5.89889e+09,9.65164e+10,1.32485e+07,2.50083e+09,3.21124e+09,6.66426e+10,3.7332e+11,2.61814e+13,3.66719e+09,2.69132e+13,2.22141e+09,1.01234e+11,1.91203e+13,5.46447e+13,0,306.494,12637.2,66719.4,0,75914.5
0,300,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.05063e+08,60715.7,2.42951e+07,6.56994e+08,2.13423e+09,2.84658e+10,4.66793e+11,2.55808e+10,2.04511e+06,2.60511e+08,4.15221e+09,2.28211e+10,4.58662e+12,1.9077e+13,3.37184e+09,7.81141e+13,3.73411e+08,3.12351e+10,3.22182e+12,1.62902e+13,0,307.952,12636.3,66750.2,0,75970.7
0,300,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.44761e+10,455345,4.68216e+06,4.08947e+09,5.95917e+07,1.29188e+11,1.29313e+11,1.79666e+10,3.65126e+06,1.26832e+08,2.05304e+10,2.8947e+09,3.77832e+12,6.48727e+12,3.56813e+09,4.3839e+12,4.11363e+09,1.24975e+11,1.43028e+13,4.67547e+12,0,306.104,12627.5,66799.7,0,76030.1
