group,mean_change,std_change,num_at_near_bounds,percent_at_near_bounds,initial_cv,current_cv,num_cv_dec
soil,368.599,19.0161,16,0,4.50176,0.168998,1
aquf,14.298,16.1691,16,2,0.471559,0.378325,0
apex,0,0,0,0,0,0,0
rivbot,0,0,0,0,0,0,0
rivcd,12.6025,26.2542,0,0,0.350294,0.283268,0
salt_ca0,16.8529,20.9125,0,0,0.475279,0.421059,0
salt_cl0,14.3233,22.5634,0,0,0.434372,0.382295,0
salt_co30,47.239,17.0688,84,0,1.60205,3.00599,0
salt_hco30,19.6997,27.2976,0,0,0.388204,0.326011,0
salt_k0,100.463,17.6126,58,0,3.33032,5.4639,3
salt_mg0,29.3788,18.2149,161,1,0.791256,0.923261,0
salt_na0,16.3225,22.7286,0,0,0.431006,0.396437,0
salt_so40,17.284,24.419,0,0,0.402142,0.363164,0
