group,mean_change,std_change,num_at_near_bounds,percent_at_near_bounds,initial_cv,current_cv,num_cv_dec
soil,434.725,22.6361,11,0,4.50176,0.145405,1
aquf,18.5365,22.7821,11,1,0.471559,0.341645,0
apex,0,0,0,0,0,0,0
rivbot,0,0,0,0,0,0,0
rivcd,13.0511,32.059,0,0,0.350294,0.259357,0
salt_ca0,19.9327,26.17,0,0,0.475279,0.412731,0
salt_cl0,16.0351,27.5202,0,0,0.434372,0.373716,0
salt_co30,50.4569,21.2314,26,0,1.60205,2.50506,0
salt_hco30,21.3419,32.9872,0,0,0.388204,0.309725,1
salt_k0,121.272,22.0696,26,0,3.33032,26.3306,6
salt_mg0,31.7,22.5822,21,0,0.791256,0.899402,0
salt_na0,18.5322,27.5414,0,0,0.431006,0.387347,0
salt_so40,17.433,29.508,0,0,0.402142,0.341584,0
