group,mean_change,std_change,num_at_near_bounds,percent_at_near_bounds,initial_cv,current_cv,num_cv_dec
soil,184.854,13.3115,20,0,4.50176,0.281063,1
aquf,6.3419,11.5119,16,2,0.471559,0.399662,0
apex,0,0,0,0,0,0,0
rivbot,0,0,0,0,0,0,0
rivcd,11.8671,17.5886,0,0,0.350294,0.319774,0
salt_ca0,13.1277,14.3402,0,0,0.475279,0.441146,0
salt_cl0,11.7477,16.0522,0,0,0.434372,0.393868,0
salt_co30,47.2788,12.2138,140,1,1.60205,4.66045,0
salt_hco30,14.1156,19.4454,0,0,0.388204,0.341934,0
salt_k0,95.4924,12.1663,123,1,3.33032,4.5867,1
salt_mg0,21.8972,12.5785,199,2,0.791256,0.839477,0
salt_na0,12.6559,16.2433,0,0,0.431006,0.405856,0
salt_so40,12.2136,17.1094,0,0,0.402142,0.366536,0
