group,mean_change,std_change,num_at_near_bounds,percent_at_near_bounds,initial_cv,current_cv,num_cv_dec
soil,424.361,22.2919,10,0,4.50176,0.148034,1
aquf,19.3277,22.2911,11,1,0.471559,0.343526,0
apex,0,0,0,0,0,0,0
rivbot,0,0,0,0,0,0,0
rivcd,13.3272,31.7231,0,0,0.350294,0.26307,0
salt_ca0,19.789,25.9601,0,0,0.475279,0.413768,0
salt_cl0,15.945,27.0079,0,0,0.434372,0.375467,0
salt_co30,49.8681,20.9328,28,0,1.60205,2.44408,0
salt_hco30,21.2668,32.7949,0,0,0.388204,0.309442,1
salt_k0,119.144,21.7583,21,0,3.33032,4.65217,4
salt_mg0,31.9721,22.4097,43,0,0.791256,0.924672,0
salt_na0,18.3989,27.3034,0,0,0.431006,0.38796,0
salt_so40,17.4354,29.3798,0,0,0.402142,0.34258,0
