group,mean_change,std_change,num_at_near_bounds,percent_at_near_bounds,initial_cv,current_cv,num_cv_dec
soil,407.776,21.7022,15,0,4.50176,0.150766,1
aquf,16.8187,20.7749,14,1,0.471559,0.356157,0
apex,0,0,0,0,0,0,0
rivbot,0,0,0,0,0,0,0
rivcd,14.8614,31.0758,0,0,0.350294,0.268829,0
salt_ca0,18.734,24.8389,0,0,0.475279,0.415836,0
salt_cl0,16.7294,26.0863,0,0,0.434372,0.380332,0
salt_co30,47.3945,20.0024,32,0,1.60205,2.5986,0
salt_hco30,20.9013,31.5704,0,0,0.388204,0.314403,1
salt_k0,118.488,20.9592,69,0,3.33032,10.7317,4
salt_mg0,31.8924,21.5391,117,1,0.791256,0.945447,0
salt_na0,18.6745,26.2623,0,0,0.431006,0.391596,0
salt_so40,17.6852,28.2806,0,0,0.402142,0.346879,0
