group,mean_change,std_change,num_at_near_bounds,percent_at_near_bounds,initial_cv,current_cv,num_cv_dec
soil,447.78,22.7762,6,0,4.50176,0.142495,1
aquf,18.6688,22.8438,9,1,0.471559,0.342335,0
apex,0,0,0,0,0,0,0
rivbot,0,0,0,0,0,0,0
rivcd,12.6122,32.5858,0,0,0.350294,0.257967,0
salt_ca0,20.0039,26.3,0,0,0.475279,0.411402,0
salt_cl0,16.1132,27.8229,0,0,0.434372,0.372175,0
salt_co30,49.426,21.449,19,0,1.60205,2.63308,0
salt_hco30,21.3353,33.0767,0,0,0.388204,0.310119,1
salt_k0,122.804,22.3274,26,0,3.33032,5.10937,6
salt_mg0,31.7243,22.7751,25,0,0.791256,0.904179,0
salt_na0,18.6397,27.8675,0,0,0.431006,0.386919,0
salt_so40,17.7469,29.4991,0,0,0.402142,0.342925,0
