group,mean_change,std_change,num_at_near_bounds,percent_at_near_bounds,initial_cv,current_cv,num_cv_dec
soil,62.4177,43.6176,3,0,4.50176,0.434374,1
aquf,30.3159,42.6613,14,2,0.471559,0.238285,0
apex,0,0,0,0,0,0,0
rivbot,0,0,0,0,0,0,0
rivcd,9.66949,57.3196,0,0,0.350294,0.152027,2
salt_ca0,25.9558,47.9646,0,0,0.475279,0.320055,2
salt_cl0,18.2027,48.6219,0,0,0.434372,0.272573,0
salt_co30,69.82,42.0595,4,0,1.60205,7.10374,4
salt_hco30,21.4821,49.566,0,0,0.388204,0.221389,1
salt_k0,160.158,49.4891,13,0,3.33032,5.8191,14
salt_mg0,42.5291,48.5833,27,0,0.791256,1.18143,4
salt_na0,22.896,51.6178,0,0,0.431006,0.274456,2
salt_so40,13.7638,49.9929,0,0,0.402142,0.224308,2
