group,mean_change,std_change,num_at_near_bounds,percent_at_near_bounds,initial_cv,current_cv,num_cv_dec
soil,9.91592,32.4416,3,0,4.50176,1.77875,0
aquf,24.8721,33.1268,25,3,0.471559,0.258351,0
apex,0,0,0,0,0,0,0
rivbot,0,0,0,0,0,0,0
rivcd,4.98311,44.1352,0,0,0.350294,0.190011,0
salt_ca0,19.2348,35.1564,0,0,0.475279,0.364613,0
salt_cl0,15.8175,37.0923,0,0,0.434372,0.314905,0
salt_co30,55.0398,31.2189,38,0,1.60205,4.48074,0
salt_hco30,16.3663,36.7016,0,0,0.388204,0.257248,0
salt_k0,131.249,36.6156,26,0,3.33032,9.74688,9
salt_mg0,30.3434,35.9666,62,0,0.791256,0.639144,0
salt_na0,19.5524,39.5958,0,0,0.431006,0.324329,0
salt_so40,13.6896,38.4176,0,0,0.402142,0.27098,1
