group,mean_change,std_change,num_at_near_bounds,percent_at_near_bounds,initial_cv,current_cv,num_cv_dec
soil,97.5535,26.7864,4,0,4.50176,0.377755,1
aquf,10.6382,26.7316,2,0,0.471559,0.327085,0
apex,0,0,0,0,0,0,0
rivbot,0,0,0,0,0,0,0
rivcd,4.42247,37.2277,0,0,0.350294,0.21109,0
salt_ca0,11.9407,28.6194,0,0,0.475279,0.374472,0
salt_cl0,11.8731,30.6212,0,0,0.434372,0.335806,0
salt_co30,39.1164,25.342,40,0,1.60205,46.4173,0
salt_hco30,12.1355,29.741,0,0,0.388204,0.28645,0
salt_k0,95.2275,29.3123,34,0,3.33032,6.53311,4
salt_mg0,21.9169,29.2092,35,0,0.791256,0.699482,0
salt_na0,18.1824,32.4935,0,0,0.431006,0.35486,0
salt_so40,13.0343,31.1924,0,0,0.402142,0.305002,0
