1
    APEX1501 v20181201  2022 3 8   8:44: 5
         RUN #    1
                                                                                 SIT000075
                                                                               SIT0075.SIT
                                                                                 Outlet 75
          SIT0075.SIT                                                                     
          SUB0075.SUB                                                                     
    Y   M   D         RFV        PRCP          ET          EP           Q         SSF         PRK         QIN        DPRK        RSSF         QRF        SSFI          SW
 1987   1   1  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
 1987   1   2  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.5088E-02  0.0000E+00  0.0000E+00  0.0000E+00
 1987   1   3  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00 -0.2969E-02  0.0000E+00  0.0000E+00  0.0000E+00
 1987   1   4  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.6833E-02  0.0000E+00  0.0000E+00  0.0000E+00
 1987   1   5  0.3000E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.9462E-02  0.0000E+00  0.0000E+00  0.0000E+00
 1987   1   6  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.3907E-02  0.0000E+00  0.0000E+00  0.0000E+00
 1987   1   7  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.8522E-02  0.0000E+00  0.0000E+00  0.0000E+00
 1987   1   8  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.7587E-02  0.0000E+00  0.0000E+00  0.0000E+00
 1987   1   9  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.7597E-02  0.0000E+00  0.0000E+00  0.0000E+00
 1987   1  10  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.7674E-02  0.0000E+00  0.0000E+00  0.0000E+00
 1987   1  11  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.7697E-02  0.0000E+00  0.0000E+00  0.0000E+00
 1987   1  12  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.8909E-02  0.0000E+00  0.0000E+00  0.0000E+00
 1987   1  13  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.9742E-02  0.0000E+00  0.0000E+00  0.0000E+00
 1987   1  14  0.3300E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.8779E-02  0.0000E+00  0.0000E+00  0.0000E+00
 1987   1  15  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.9042E-02  0.0000E+00  0.0000E+00  0.0000E+00
 1987   1  16  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.8967E-02  0.0000E+00  0.0000E+00  0.0000E+00
 1987   1  17  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.8926E-02  0.0000E+00  0.0000E+00  0.0000E+00
 1987   1  18  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.9957E-02  0.0000E+00  0.0000E+00  0.0000E+00
 1987   1  19  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.1810E-01  0.0000E+00  0.0000E+00  0.0000E+00
 1987   1  20  0.3800E+01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00 -0.6775E-02  0.0000E+00  0.0000E+00  0.0000E+00
 1987   1  21  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.7219E-02  0.0000E+00  0.0000E+00  0.0000E+00
 1987   1  22  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.5267E-02  0.0000E+00  0.0000E+00  0.0000E+00
