group,mean_change,std_change,num_at_near_bounds,percent_at_near_bounds,initial_cv,current_cv,num_cv_dec
soil,173.543,21.6695,19,0,4.50176,0.267232,1
aquf,9.29412,21.2604,10,1,0.471559,0.340011,0
apex,0,0,0,0,0,0,0
rivbot,0,0,0,0,0,0,0
rivcd,5.91644,31.1711,0,0,0.350294,0.24077,0
salt_ca0,10.018,22.71,0,0,0.475279,0.396357,0
salt_cl0,10.094,25.1746,0,0,0.434372,0.346553,0
salt_co30,28.2195,20.4173,46,0,1.60205,1.67866,0
salt_hco30,11.4988,23.6568,0,0,0.388204,0.311698,0
salt_k0,75.9588,22.8808,50,0,3.33032,12.0427,2
salt_mg0,21.0865,23.3334,108,1,0.791256,0.725941,0
salt_na0,14.96,26.5578,0,0,0.431006,0.368929,0
salt_so40,12.5564,24.5234,0,0,0.402142,0.328468,0
