group,mean_change,std_change,num_at_near_bounds,percent_at_near_bounds,initial_cv,current_cv,num_cv_dec
soil,149.819,24.8154,14,0,4.50176,0.281547,1
aquf,8.61193,24.991,4,0,0.471559,0.326477,0
apex,0,0,0,0,0,0,0
rivbot,0,0,0,0,0,0,0
rivcd,5.39908,35.0589,0,0,0.350294,0.221328,0
salt_ca0,10.4393,26.3662,0,0,0.475279,0.378324,0
salt_cl0,10.9605,28.5733,0,0,0.434372,0.338928,0
salt_co30,31.5038,23.3151,49,0,1.60205,2.17649,0
salt_hco30,11.558,27.1345,0,0,0.388204,0.299746,0
salt_k0,83.9533,26.987,31,0,3.33032,7.6143,2
salt_mg0,19.7599,26.834,48,0,0.791256,0.692692,0
salt_na0,16.5732,30.2427,0,0,0.431006,0.359786,0
salt_so40,12.3319,28.6096,0,0,0.402142,0.3161,0
