name,obs_mean,obs_std,obs_min,obs_max,obs_stat_min,obs_stat_max,sim_mean,sim_std,sim_min,sim_max,sim_stat_min,sim_stat_max,distance
STR_075_200711,11.0842,0.851519,8.70685,13.5475,11.9357,10.2327,4.0198,0.0905683,3.742,4.252,4.11037,3.92923,4.45485
STR_075_200712,12.3221,0.917138,9.37907,14.9284,13.2392,11.4049,3.54274,0.0892778,3.312,3.754,3.63202,3.45347,5.62507
STR_075_200801,9.86834,0.88173,7.91137,12.2254,10.7501,8.98661,3.18187,0.0674252,2.98,3.424,3.24929,3.11444,4.48737
STR_075_200802,10.5694,0.895174,8.33604,12.7782,11.4646,9.67423,3.00466,0.047315,2.867,3.135,3.05197,2.95735,5.20104
STR_075_200803,22.0291,0.87663,19.4539,24.6193,22.9057,21.1524,14.2316,0.333312,13.62,15.93,14.5649,13.8983,3.52392
STR_075_200804,36.8024,0.862478,34.2855,39.0572,37.6649,35.94,20.2504,0.0792702,20.09,20.55,20.3297,20.1712,13.7355
STR_075_200805,73.0367,0.909488,70.4228,75.5386,73.9462,72.1272,133.131,0.27087,132.5,134.1,133.402,132.86,56.9614
STR_075_200806,100.022,0.889474,97.6468,102.345,100.912,99.1329,166.71,0.321379,166,167.6,167.031,166.388,63.6554
STR_075_200807,35.038,0.846662,32.1548,37.0022,35.8847,34.1914,28.3044,0.368517,27.74,28.94,28.6729,27.9358,3.21482
STR_075_200808,12.6107,0.899906,9.9359,14.9081,13.5106,11.7108,44.2021,0.11769,43.96,44.54,44.3198,44.0844,29.0519
STR_075_200809,9.32143,0.879285,7.03397,11.8398,10.2007,8.44214,29.2212,0.192077,28.49,29.66,29.4133,29.0291,16.6502
STR_075_200810,8.38726,0.888224,5.77841,11.0038,9.27549,7.49904,15.9496,0.219195,15.17,16.41,16.1688,15.7304,4.16625
STR_075_200811,8.93797,0.831937,6.68095,11.6271,9.76991,8.10603,4.80904,0.161029,4.515,5.314,4.97007,4.64801,1.36695
STR_075_200812,8.75449,0.888113,6.31186,10.9134,9.6426,7.86638,4.48174,0.0821054,4.269,4.739,4.56385,4.39963,1.57286
STR_075_200901,8.93653,0.85324,6.72203,12.1028,9.78977,8.08329,3.93422,0.0790797,3.78,4.206,4.0133,3.85514,2.51603
STR_075_200902,9.70583,0.927884,7.66125,12.5386,10.6337,8.77794,3.58082,0.0512736,3.47,3.742,3.63209,3.52954,3.91925
STR_075_200904,19.8945,0.847054,17.356,22.2793,20.7416,19.0475,24.4596,0.0494164,24.35,24.62,24.509,24.4102,2.07074
STR_075_200905,93.0551,0.850458,90.8322,95.4214,93.9056,92.2047,170.235,0.449249,169.2,171.2,170.685,169.786,73.7786
