group,mean_change,std_change,num_at_near_bounds,percent_at_near_bounds,initial_cv,current_cv,num_cv_dec
soil,83.7597,41.8168,0,0,4.50176,0.357159,1
aquf,30.8099,41.2019,7,1,0.471559,0.244984,0
apex,0,0,0,0,0,0,0
rivbot,0,0,0,0,0,0,0
rivcd,13.2682,56.5426,0,0,0.350294,0.152566,2
salt_ca0,26.1579,46.386,0,0,0.475279,0.336497,1
salt_cl0,18.9501,47.1018,0,0,0.434372,0.286005,0
salt_co30,74.6016,40.5209,63,0,1.60205,4.20131,2
salt_hco30,20.4594,47.9115,0,0,0.388204,0.227968,1
salt_k0,158.156,47.2591,9,0,3.33032,4.85721,10
salt_mg0,42.2136,46.5949,47,0,0.791256,22.5941,4
salt_na0,21.7413,49.9061,0,0,0.431006,0.2842,2
salt_so40,14.5016,48.457,0,0,0.402142,0.232952,2
